
央视移动,#genre#
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8

CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8

CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8

CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8

CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8

CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8

CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8

CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8

CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8

CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8

CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8

CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8

CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8

CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8

CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8

CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8

CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8

CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

卫视移动,#genre#

黑龙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
