央视,#genre#
CCTV1综合,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=2025100620003253337aabe6e84c04ad9249cc9dcde7d5&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=399cc91015f1e794dcb2c0f3cfc7bb42&ddCalcu=2349eb90bc87c0c9f1c031f50fc12eb7c9d4
CCTV2财经,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202510062000325005956b5b8842e288ba3c0067ac0691&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ab6a832331cdecf9d9eb255ea5633b8c&ddCalcu=ca8beb603a13806352a3e3515c2dbeec9fd9
CCTV3综艺,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=2025100620003206059ee3cc26486290ec726cd8e18f39&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=cd0b0244967a569b7c7a9f869d1ed474&ddCalcu=4c7de400db4e0012d4946986f79aa576c97b
CCTV4中文国际,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=202510062000329394e7b696344c43a90d680aa8737512&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e2fe16ee4fb4b43838ec4ee2b3a8a1e6&ddCalcu=6ee2e1f0ae1810a63ebe24efeb44cbe48338
CCTV5体育,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=2025100620003225f2ab6567cd4d95ab185cd4623e8ff3&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b8ce8a5b5859585cabb3374265270798&ddCalcu=8b98e7c00e17802a556b2548753935b8b5ac
CCTV5+体育赛事,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=20251006200032327257762787463784e1bfb54b3e2992&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=409945077da8879b6d2af820fa6146f0&ddCalcu=04f0e69049114065a0f7072d8af8a827d96b
CCTV6电影,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=20251006200032f368da3209f3491ebf7ce3eefa3886d3&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=a31df462a4a73384039e0fb9e852992d&ddCalcu=da23e9109d42f05486e29ab4fa07e3933804
CCTV7国防军事,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=202510062000321bd8142954e04f9ab2a679d7314161fc&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20251006200032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=106.13.250.90&SecurityKey=20251006200032&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=20babb92f5b309f433e6c3b742b1db2a&ddCalcu=a220ebb0da31b0bb29427fb53bc360e93f34
CCTV8电视剧,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=20251006200033a84e52b223494e3fa694c886ffad7254&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e86d545c696f1d9209d2e741d3c34885&ddCalcu=5e88e8604d4350c435dc164976ef21dd9902
CCTV9纪录,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=202510062000335dcff5c9853b4459a9f2cc26ef126c49&mdspid=&spid=699004&netType=0&sid=5501083624&pid=2028597139&timestamp=20251006200033&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=106.13.250.90&SecurityKey=20251006200033&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=c7b7c581ad76ac1a8b0731f3855de8a1&ddCalcu=1ca7e8b0e73dc05558813afd17367a0cb18a
