央视频道,#genre#
CCTV1综合,http://110.42.63.57:158/live/ysp.php?id=CCTV1
CCTV2财经,http://110.42.63.57:158/live/ysp.php?id=CCTV2
CCTV3综艺,http://110.42.63.57:158/live/ysp.php?id=CCTV3
CCTV4中文国际,http://110.42.63.57:158/live/ysp.php?id=CCTV4
CCTV5体育,http://110.42.63.57:158/live/ysp.php?id=CCTV5
CCTV5+体育赛事,http://110.42.63.57:158/live/ysp.php?id=CCTV5p
CCTV6电影,http://110.42.63.57:158/live/ysp.php?id=CCTV6
CCTV7国防军事,http://110.42.63.57:158/live/ysp.php?id=CCTV7
CCTV8电视剧,http://110.42.63.57:158/live/ysp.php?id=CCTV8
CCTV9纪录,http://110.42.63.57:158/live/ysp.php?id=CCTV9
CCTV10科教,http://110.42.63.57:158/live/ysp.php?id=CCTV10
CCTV11戏曲,http://110.42.63.57:158/live/ysp.php?id=CCTV11
CCTV12社会与法,http://110.42.63.57:158/live/ysp.php?id=CCTV12
CCTV13新闻,http://110.42.63.57:158/live/ysp.php?id=CCTV13
CCTV14少儿,http://110.42.63.57:158/live/ysp.php?id=CCTV14
CCTV15音乐,http://110.42.63.57:158/live/ysp.php?id=CCTV15
CCTV16奥林匹克,http://110.42.63.57:158/live/ysp.php?id=CCTV16
CCTV17农业农村,http://110.42.63.57:158/live/ysp.php?id=CCTV17
卫视频道,#genre#
北京卫视,http://110.42.63.57:158/live/ysp.php?id=北京卫视
天津卫视,http://110.42.63.57:158/live/ysp.php?id=天津卫视
东方卫视,http://110.42.63.57:158/live/ysp.php?id=东方卫视
东南卫视,http://110.42.63.57:158/live/ysp.php?id=东南卫视
海南卫视,http://110.42.63.57:158/live/ysp.php?id=海南卫视
广东卫视,http://110.42.63.57:158/live/ysp.php?id=广东卫视
广西卫视,http://110.42.63.57:158/live/ysp.php?id=广西卫视
深圳卫视,http://110.42.63.57:158/live/ysp.php?id=深圳卫视
江苏卫视,http://110.42.63.57:158/live/ysp.php?id=江苏卫视
江西卫视,http://110.42.63.57:158/live/ysp.php?id=江西卫视
浙江卫视,http://110.42.63.57:158/live/ysp.php?id=浙江卫视
湖南卫视,http://110.42.63.57:158/live/ysp.php?id=湖南卫视
湖北卫视,http://110.42.63.57:158/live/ysp.php?id=湖北卫视
安徽卫视,http://110.42.63.57:158/live/ysp.php?id=安徽卫视
山东卫视,http://110.42.63.57:158/live/ysp.php?id=山东卫视
山西卫视,http://110.42.63.57:158/live/ysp.php?id=山西卫视
河南卫视,http://110.42.63.57:158/live/ysp.php?id=河南卫视
河北卫视,http://110.42.63.57:158/live/ysp.php?id=河北卫视
龙江卫视,http://110.42.63.57:158/live/ysp.php?id=黑龙江卫视
吉林卫视,http://110.42.63.57:158/live/ysp.php?id=吉林卫视
辽宁卫视,http://110.42.63.57:158/live/ysp.php?id=辽宁卫视
云南卫视,http://110.42.63.57:158/live/ysp.php?id=云南卫视
贵州卫视,http://110.42.63.57:158/live/ysp.php?id=贵州卫视
四川卫视,http://110.42.63.57:158/live/ysp.php?id=四川卫视
重庆卫视,http://110.42.63.57:158/live/ysp.php?id=重庆卫视
陕西卫视,http://110.42.63.57:158/live/ysp.php?id=陕西卫视
甘肃卫视,http://110.42.63.57:158/live/ysp.php?id=甘肃卫视
宁夏卫视,http://110.42.63.57:158/live/ysp.php?id=宁夏卫视
青海卫视,http://110.42.63.57:158/live/ysp.php?id=青海卫视
内蒙卫视,http://110.42.63.57:158/live/ysp.php?id=内蒙古卫视
西藏卫视,http://110.42.63.57:158/live/ysp.php?id=西藏卫视
新疆卫视,http://110.42.63.57:158/live/ysp.php?id=新疆卫视
兵团卫视,http://110.42.63.57:158/live/ysp.php?id=兵团卫视
